# BLOCK:     DISTANCE:     ACTUAL_AVE_GOFR:
           4     5.49381     0.98694
           4     5.55844    0.982757
           4     5.62307    0.988215
           4     5.68771    0.990405
           4     5.75234    0.989466
           4     5.81697    0.988963
           4     5.88161    0.983623
           4     5.94624    0.983727
           4     6.01087    0.984547
           4     6.07551    0.985095
           4     6.14014    0.988551
           4     6.20477    0.984625
           4      6.2694    0.986452
           4     6.33404    0.987874
           4     6.39867    0.985515
           4      6.4633    0.989035
           5    0.064633           0
           5    0.129266           0
           5    0.193899           0
           5    0.258532           0
           5    0.323165           0
           5    0.387798           0
           5    0.452431           0
           5    0.517064           0
           5    0.581697           0
           5     0.64633           0
           5    0.710963           0
           5    0.775596           0
           5     0.84023           0
           5    0.904863  0.00125723
           5    0.969496    0.151595
           5     1.03413     1.07064
           5     1.09876     2.00624
           5     1.16339     2.26182
           5     1.22803     2.08691
           5     1.29266     1.83747
           5     1.35729     1.62236
           5     1.42193     1.45064
           5     1.48656       1.344
           5     1.55119     1.25547
           5     1.61583      1.1766
           5     1.68046     1.13913
           5     1.74509     1.11526
           5     1.80973     1.09347
           5     1.87436     1.07126
           5     1.93899     1.06562
           5     2.00362     1.06678
           5     2.06826     1.05603
           5     2.13289     1.04916
           5     2.19752      1.0443
           5     2.26216     1.05081
           5     2.32679     1.04403
           5     2.39142     1.04387
           5     2.45606     1.03311
           5     2.52069     1.02074
           5     2.58532     1.02456
           5     2.64995      1.0284
           5     2.71459     1.01815
           5     2.77922     1.01004
           5     2.84385     1.00445
           5     2.90849     1.00733
           5     2.97312     1.00953
           5     3.03775     0.99731
           5     3.10239     1.00306
           5     3.16702     1.00049
           5     3.23165    0.996435
           5     3.29629     1.00045
           5     3.36092    0.999444
           5     3.42555    0.997289
           5     3.49018    0.995206
           5     3.55482    0.993463
           5     3.61945    0.997187
           5     3.68408    0.997289
           5     3.74872    0.995136
           5     3.81335    0.994144
           5     3.87798    0.992721
           5     3.94262    0.990004
           5     4.00725    0.988955
           5     4.07188    0.991654
           5     4.13651     0.99524
           5     4.20115    0.988567
           5     4.26578     0.98945
           5     4.33041    0.987204
           5     4.39505    0.992028
           5     4.45968    0.986932
           5     4.52431    0.984239
           5     4.58895    0.985579
           5     4.65358    0.988961
           5     4.71821    0.984411
           5     4.78285    0.988694
           5     4.84748    0.989052
           5     4.91211     0.98758
           5     4.97674    0.987731
           5     5.04138    0.991049
           5     5.10601    0.988707
           5     5.17064    0.986605
           5     5.23528    0.984813
           5     5.29991    0.990085
           5     5.36454    0.987161
           5     5.42918    0.984753
           5     5.49381    0.986732
           5     5.55844    0.987101
           5     5.62307    0.990437
           5     5.68771    0.983621
           5     5.75234    0.985266
           5     5.81697    0.984321
           5     5.88161    0.985709
           5     5.94624    0.985398
           5     6.01087     0.98639
           5     6.07551    0.985075
           5     6.14014    0.983176
           5     6.20477    0.984959
           5      6.2694    0.985618
           5     6.33404    0.985197
           5     6.39867    0.987176
           5      6.4633    0.984451
           6    0.064633           0
           6    0.129266           0
           6    0.193899           0
           6    0.258532           0
           6    0.323165           0
           6    0.387798           0
           6    0.452431           0
           6    0.517064           0
           6    0.581697           0
           6     0.64633           0
           6    0.710963           0
           6    0.775596           0
           6     0.84023           0
           6    0.904863 0.000598682
           6    0.969496    0.146354
           6     1.03413     1.06724
           6     1.09876     2.02873
           6     1.16339     2.26157
           6     1.22803     2.10323
           6     1.29266     1.83968
           6     1.35729     1.62979
           6     1.42193     1.46022
           6     1.48656     1.32479
           6     1.55119     1.24007
           6     1.61583     1.18105
           6     1.68046      1.1418
           6     1.74509     1.12249
           6     1.80973     1.08784
           6     1.87436     1.08232
           6     1.93899     1.06973
           6     2.00362     1.04833
           6     2.06826     1.06027
           6     2.13289     1.05909
           6     2.19752     1.05325
           6     2.26216     1.04381
           6     2.32679     1.03812
           6     2.39142     1.04438
           6     2.45606     1.03201
           6     2.52069     1.03172
           6     2.58532     1.02604
           6     2.64995     1.01081
           6     2.71459      1.0181
           6     2.77922     1.00552
           6     2.84385     1.00419
           6     2.90849     1.00534
           6     2.97312     1.00098
           6     3.03775     1.00024
           6     3.10239    0.993638
           6     3.16702    0.995622
           6     3.23165      1.0016
           6     3.29629     0.99842
           6     3.36092    0.996748
           6     3.42555    0.993032
           6     3.49018    0.991835
           6     3.55482    0.993121
           6     3.61945    0.993236
           6     3.68408    0.989694
           6     3.74872    0.991378
           6     3.81335    0.989844
           6     3.87798    0.983785
           6     3.94262    0.995262
           6     4.00725    0.987093
           6     4.07188    0.992037
           6     4.13651    0.988272
           6     4.20115     0.98677
           6     4.26578    0.984333
           6     4.33041      0.9844
           6     4.39505    0.983003
           6     4.45968    0.985369
           6     4.52431    0.987529
           6     4.58895    0.986672
           6     4.65358    0.986121
           6     4.71821    0.986579
           6     4.78285     0.98483
           6     4.84748    0.983618
           6     4.91211    0.987049
           6     4.97674    0.990333
           6     5.04138    0.985222
           6     5.10601    0.986376
           6     5.17064     0.98896
           6     5.23528     0.98609
           6     5.29991    0.986895
           6     5.36454    0.988455
           6     5.42918    0.987077
           6     5.49381    0.986517
           6     5.55844    0.988463
           6     5.62307    0.985789
           6     5.68771    0.986916
           6     5.75234    0.984721
           6     5.81697    0.986498
           6     5.88161    0.985157
           6     5.94624    0.985754
           6     6.01087    0.985504
           6     6.07551    0.985739
           6     6.14014    0.987256
           6     6.20477    0.986603
           6      6.2694    0.984286
           6     6.33404    0.986537
           6     6.39867     0.98548
           6      6.4633    0.984016
           7    0.064633           0
           7    0.129266           0
           7    0.193899           0
           7    0.258532           0
           7    0.323165           0
           7    0.387798           0
           7    0.452431           0
           7    0.517064           0
           7    0.581697           0
           7     0.64633           0
           7    0.710963           0
           7    0.775596           0
           7     0.84023           0
           7    0.904863 0.000239473
           7    0.969496    0.151855
           7     1.03413     1.05938
           7     1.09876     2.02175
           7     1.16339     2.28566
           7     1.22803     2.09922
           7     1.29266      1.8131
           7     1.35729      1.6214
           7     1.42193     1.45706
           7     1.48656     1.34323
           7     1.55119     1.25241
           7     1.61583     1.18789
           7     1.68046     1.15076
           7     1.74509      1.1131
           7     1.80973     1.09054
           7     1.87436     1.07338
           7     1.93899     1.06439
           7     2.00362     1.05636
           7     2.06826     1.05577
           7     2.13289     1.05185
           7     2.19752     1.05014
           7     2.26216      1.0471
           7     2.32679     1.04191
           7     2.39142     1.03713
           7     2.45606     1.02827
           7     2.52069     1.03053
           7     2.58532     1.02136
           7     2.64995     1.01711
           7     2.71459     1.01315
           7     2.77922     1.01308
           7     2.84385     1.00766
           7     2.90849     1.00681
           7     2.97312     1.00256
           7     3.03775    0.999254
           7     3.10239     0.99909
           7     3.16702    0.995733
           7     3.23165    0.996578
           7     3.29629    0.995129
           7     3.36092     1.00088
           7     3.42555    0.989907
           7     3.49018    0.993337
           7     3.55482    0.994135
           7     3.61945    0.993023
           7     3.68408    0.991031
           7     3.74872    0.992191
           7     3.81335    0.989723
           7     3.87798    0.988571
           7     3.94262    0.990129
           7     4.00725     0.99116
           7     4.07188    0.990824
           7     4.13651    0.990551
           7     4.20115    0.987056
           7     4.26578    0.984819
           7     4.33041    0.985444
           7     4.39505    0.982527
           7     4.45968    0.988666
           7     4.52431    0.985977
           7     4.58895    0.984342
           7     4.65358    0.984082
           7     4.71821    0.985663
           7     4.78285     0.98652
           7     4.84748    0.984385
           7     4.91211    0.987823
           7     4.97674    0.984367
           7     5.04138    0.984875
           7     5.10601    0.987556
           7     5.17064    0.987113
           7     5.23528    0.982079
           7     5.29991     0.98579
           7     5.36454    0.986326
           7     5.42918    0.984251
           7     5.49381    0.984098
           7     5.55844    0.982666
           7     5.62307    0.985839
           7     5.68771    0.986664
           7     5.75234    0.985735
           7     5.81697    0.985045
           7     5.88161    0.985595
           7     5.94624    0.985854
           7     6.01087    0.985173
           7     6.07551    0.987354
           7     6.14014    0.985419
           7     6.20477     0.98534
           7      6.2694    0.985456
           7     6.33404    0.986658
           7     6.39867    0.986743
           7      6.4633    0.983237
           8    0.064633           0
           8    0.129266           0
           8    0.193899           0
           8    0.258532           0
           8    0.323165           0
           8    0.387798           0
           8    0.452431           0
           8    0.517064           0
           8    0.581697           0
           8     0.64633           0
           8    0.710963           0
           8    0.775596           0
           8     0.84023           0
           8    0.904863 0.000898024
           8    0.969496     0.15144
           8     1.03413     1.05229
           8     1.09876     2.03739
           8     1.16339      2.2451
           8     1.22803     2.09265
           8     1.29266     1.85036
           8     1.35729     1.61379
           8     1.42193     1.44877
           8     1.48656     1.34351
           8     1.55119     1.25551
           8     1.61583     1.18747
           8     1.68046     1.14564
           8     1.74509       1.106
           8     1.80973     1.07911
           8     1.87436     1.07429
           8     1.93899     1.06604
           8     2.00362     1.05642
           8     2.06826     1.05725
           8     2.13289     1.05389
           8     2.19752     1.05641
           8     2.26216     1.04252
           8     2.32679     1.03677
           8     2.39142     1.04426
           8     2.45606      1.0207
           8     2.52069     1.02733
           8     2.58532     1.01887
           8     2.64995     1.01439
           8     2.71459     1.01411
           8     2.77922     1.00744
           8     2.84385     1.00908
           8     2.90849    0.997878
           8     2.97312    0.995788
           8     3.03775      1.0043
           8     3.10239     1.00274
           8     3.16702     1.00163
           8     3.23165    0.992363
           8     3.29629    0.995724
           8     3.36092    0.991912
           8     3.42555    0.995155
           8     3.49018    0.989486
           8     3.55482    0.991971
           8     3.61945    0.992903
           8     3.68408    0.987598
           8     3.74872    0.991012
           8     3.81335    0.985379
           8     3.87798    0.989459
           8     3.94262    0.990031
           8     4.00725    0.985803
           8     4.07188     0.99079
           8     4.13651    0.989133
           8     4.20115    0.987798
           8     4.26578    0.990811
           8     4.33041     0.98524
           8     4.39505    0.989848
           8     4.45968      0.9881
           8     4.52431    0.987988
           8     4.58895    0.985763
           8     4.65358    0.987313
           8     4.71821    0.985279
           8     4.78285    0.986819
           8     4.84748    0.984039
           8     4.91211    0.986567
           8     4.97674    0.985333
           8     5.04138    0.985293
           8     5.10601    0.983729
           8     5.17064    0.986892
           8     5.23528    0.984299
           8     5.29991    0.986234
           8     5.36454    0.988095
           8     5.42918    0.983477
           8     5.49381    0.987431
           8     5.55844     0.98486
           8     5.62307    0.988077
           8     5.68771    0.983125
           8     5.75234    0.984977
           8     5.81697    0.984486
           8     5.88161    0.986586
           8     5.94624    0.984975
           8     6.01087    0.987674
           8     6.07551    0.984913
           8     6.14014    0.986481
           8     6.20477     0.98533
           8      6.2694    0.984927
           8     6.33404    0.984573
           8     6.39867    0.988112
           8      6.4633     0.98477
           9    0.064633           0
           9    0.129266           0
           9    0.193899           0
           9    0.258532           0
           9    0.323165           0
           9    0.387798           0
           9    0.452431           0
           9    0.517064           0
           9    0.581697           0
           9     0.64633           0
           9    0.710963           0
           9    0.775596           0
           9     0.84023           0
           9    0.904863  0.00137697
           9    0.969496    0.145835
           9     1.03413     1.06701
